doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cach-dong-goi-don-hang-hoan-tra,data/ecommerce/cach-dong-goi-don-hang-hoan-tra.md,Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508,2026-09-20,not-stated,public-source
cam-nang-tra-hang-hoan-tien,data/ecommerce/cam-nang-tra-hang-hoan-tien.md,Cẩm nang Trả hàng và Hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/79258,2026-09-20,not-stated,public-source
huong-dan-chuan-bi-bang-chung-tra-hang,data/ecommerce/huong-dan-chuan-bi-bang-chung-tra-hang.md,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng và Hoàn tiền,https://help.shopee.vn/portal/4/article/79467,2026-09-20,not-stated,public-source
huong-dan-gui-yeu-cau-tra-hang-hoan-tien,data/ecommerce/huong-dan-gui-yeu-cau-tra-hang-hoan-tien.md,Hướng dẫn gửi yêu cầu Trả hàng và Hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
kiem-tra-tien-hoan-spaylater,data/ecommerce/kiem-tra-tien-hoan-spaylater.md,Làm sao để kiểm tra tiền đã hoàn vào SPayLater hay chưa,https://help.shopee.vn/portal/4/article/164831,2026-09-20,not-stated,public-source
nguoi-ban-de-xuat-hoan-tien-ngay,data/ecommerce/nguoi-ban-de-xuat-hoan-tien-ngay.md,Hướng dẫn Người mua trả lời đề xuất Hoàn Tiền Ngay của Người bán,https://help.shopee.vn/portal/4/article/190387,2026-09-20,not-stated,public-source
phuong-thuc-gui-hang-va-phi-hoan-tra,data/ecommerce/phuong-thuc-gui-hang-va-phi-hoan-tra.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-09-20,not-stated,public-source
quy-dinh-chung-tra-hang-hoan-tien,data/ecommerce/quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về Trả hàng và Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
quy-trinh-shopee-xu-ly-tra-hang-hoan-tien,data/ecommerce/quy-trinh-shopee-xu-ly-tra-hang-hoan-tien.md,Quy trình Shopee xử lý yêu cầu Trả hàng và Hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-09-20,not-stated,public-source
return-refund-policy,data/ecommerce/return-refund-policy.md,Chính sách đổi trả và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
san-pham-han-che-tra-hang,data/ecommerce/san-pham-han-che-tra-hang.md,Sản phẩm hạn chế trả hàng trên Shopee,https://help.shopee.vn/portal/4/article/79465,2026-09-20,not-stated,public-source
seller-warranty-policy,data/ecommerce/seller-warranty-policy.md,Chính sách bảo hành và trách nhiệm của Người bán Shopee,https://help.shopee.vn/portal/4/article/77246,2026-09-20,not-stated,public-source
theo-doi-tinh-trang-tra-hang-hoan-tien,data/ecommerce/theo-doi-tinh-trang-tra-hang-hoan-tien.md,Theo dõi tình trạng Trả hàng và Hoàn tiền trên Shopee,https://help.shopee.vn/portal/4/article/79298,2026-09-20,not-stated,public-source
theo-doi-van-chuyen-hang-hoan-tra,data/ecommerce/theo-doi-van-chuyen-hang-hoan-tra.md,Cách theo dõi tình trạng vận chuyển hàng hoàn trả,https://help.shopee.vn/portal/4/article/189476,2026-09-20,not-stated,public-source
thoi-gian-va-cach-kiem-tra-tien-hoan,data/ecommerce/thoi-gian-va-cach-kiem-tra-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn trên Shopee,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
tra-hang-doi-y-khong-con-nhu-cau,data/ecommerce/tra-hang-doi-y-khong-con-nhu-cau.md,Những điều cần biết về Trả hàng do Đổi ý hoặc không còn nhu cầu,https://help.shopee.vn/portal/4/article/204305,2026-09-20,not-stated,public-source
